heading,desc
Integrated Compressor Protection,"The combination of both high and low pressure switches protect the compressor, the heart of the system. High and low pressure switches guard against a variety of conditions to help keep your system running for years."
Internal Monitoring,Your AirEase air conditioner's electronic control system prolongs system life by continuously monitoring internal components for optimum performance and fault prevention
MHT™ Technology,"AirEase’s proprietary heat transfer system. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. They combine for maximum heat transfer and efficiency."
Warranty,AirEase’s commitment to a better product is backed by a Limited Lifetime Warranty on the heat exchanger and a 10-Year Limited Warranty on parts.
Up to 20 SEER Efficiency Rating*,"The highly energy efficient cooling mode on this heat pump can deliver more than 22% greater energy efficiency than a conventional 14 SEER single-stage heat pump unit. SEER (Seasonal Energy Efficiency Ratio) rates the energy efficiency of your cooling equipment. The higher the SEER rating, the more efficiently your unit operates, saving you money on utility bills.

Learn more about SEER and SEER2 ratings here.
*May qualify for local utility rebates"
Up to 19 SEER2 Efficiency Rating*,"A SEER2 rating of 19 meets ENERGY STAR® and CEE Tier 1 and Tier 2 qualifications, potentially making you eligible for tax incentives or local utility rebates.

Learn more about SEER and SEER2 ratings here.
*May qualify for local utility rebates"
Up to 10 HSPF Efficiency Rating*,"HSPF (Heating Seasonal Performance Factor) rates the energy efficiency of your heat pump. The higher the HSPF rating, the more efficiently your unit operates, saving you money on utility bills.

Learn more about HSPF and HSPF2 ratings here.
*May qualify for local utility rebates."
Up to 8.5 HSPF2 Efficiency Rating*,"HSPF2 stands for Heating Seasonal Performance Factor and is a measurement of a heat pump’s heating efficiency. As with SEER2, HSPF was updated to HSPF2 to help reflect your system’s performance after installation.

Learn more about HSPF and HSPF2 ratings here.
*May qualify for local utility rebates."
Pro Series™ Systems,"Pair this model with a Pro Series™ variable speed furnace and a Comfort Sync® A3 thermostat, for optimum performance. With higher energy efficiency, premium technology and a smart thermostat, our Pro Series™ systems give you the highest degree of control over your home environment. Explore the full Pro Series™ line."
ENERGY STAR® Certified,The ENERGY STAR program is a joint program of the U.S. Environmental Protection Agency and the U.S. Department of Energy helping us all save money and protect the environment through energy-efficient products and practices.
Comfort Sync® A3 Ultra-Smart Thermostat Compatible,"When you pair this model with the Comfort Sync® A3 Thermostat, you unlock total control over your home environment from anywhere. Program your Comfort Sync® app once and enjoy the freedom of fully intelligent heating and cooling. Your system adapts to deliver total harmony across your home, all on your schedule, so you can spend more time enjoying your home, and less time tinkering with thermostat settings."
True Variable-Speed Compressor,"Rather than running at only one or two speeds, the inverter-driven compressor changes its speed in small, precise increments like a dimmer switch to provide longer, gentler run cycles. That means temperatures are held exactly where you want them, even in extremely hot or cold weather."
Quiet Shift™ Technology,"Allows heat pumps to enter defrost mode without excessive noise. Since refrigerant pressure is allowed to equalize before the switch, the heat pump can dissipate performance-robbing frost and ice quietly."
MHT™ Technology,"MHT™ Technology helps transfer heat in and out of your home more efficiently. Featuring lanced coil fins for greater coil-to-air contact, rifled tubing for enhanced refrigerant flow, and a fan venturi cover to focus air flow over the coils to more efficiently remove heat in cooling mode and absorb heat from the air in heating mode. That means our air conditioners and heat pumps are designed to last longer and help ensure your home stays consistently comfortable."
Integrated Compressor Protection,"The combination of both high and low pressure switches give additional reliability to each AirEase cooling unit. The high pressure switch prevents operation in the event that refrigerant pressures exceed safe levels, protecting the compressor. In the event that your unit does not have enough refrigerant, the low pressure switch prevents the unit from drawing in moisture and other contaminants while operating."
Heavy-Duty Compressor Blanket,Greatly reduces operating sound so your outdoor entertaining is not interrupted.
Up to 20 SEER Efficiency Rating*,"The highly energy efficient cooling mode on this heat pump can deliver more than 22% greater energy efficiency than a conventional 14 SEER single-stage heat pump unit. SEER (Seasonal Energy Efficiency Ratio) rates the energy efficiency of your cooling equipment. The higher the SEER rating, the more efficiently your unit operates, saving you money on utility bills.

Learn more about SEER and SEER2 ratings here.
*May qualify for local utility rebates"
Up to 19 SEER2 Efficiency Rating*,"A SEER2 rating of 19 meets ENERGY STAR® and CEE Tier 1 and Tier 2 qualifications, potentially making you eligible for tax incentives or local utility rebates.

Learn more about SEER and SEER2 ratings here.
*May qualify for local utility rebates"
Up to 10 HSPF Efficiency Rating*,"HSPF (Heating Seasonal Performance Factor) rates the energy efficiency of your heat pump. The higher the HSPF rating, the more efficiently your unit operates, saving you money on utility bills.

Learn more about HSPF and HSPF2 ratings here.
*May qualify for local utility rebates."
Up to 8.5 HSPF2 Efficiency Rating*,"HSPF2 stands for Heating Seasonal Performance Factor and is a measurement of a heat pump’s heating efficiency. As with SEER2, HSPF was updated to HSPF2 to help reflect your system’s performance after installation.

Learn more about HSPF and HSPF2 ratings here.
*May qualify for local utility rebates."
ENERGY STAR® Certified,The ENERGY STAR program is a joint program of the U.S. Environmental Protection Agency and the U.S. Department of Energy helping us all save money and protect the environment through energy-efficient products and practices.
True Variable-Speed Compressor,"Rather than running at only one or two speeds, the inverter-driven compressor changes its speed in small, precise increments like a dimmer switch to provide longer, gentler run cycles. That means temperatures are held exactly where you want them, even in extremely hot or cold weather."
MHT™ Technology,"MHT™ Technology helps transfer heat in and out of your home more efficiently. Featuring lanced coil fins for greater coil-to-air contact, rifled tubing for enhanced refrigerant flow, and a fan venturi cover to focus air flow over the coils to more efficiently remove heat in cooling mode and absorb heat from the air in heating mode. That means our air conditioners and heat pumps are designed to last longer and help ensure your home stays consistently comfortable."
Dual-Fuel Compatible,The combination of a gas furnace and an electric heat pump pairs two energy sources for the perfect balance of energy efficiency and comfort.
Matched Indoor System,"When properly matched with a variable speed furnace or air handler, your outdoor unit can, in many cases, provide an elevated SEER rating."
Pro Series™ Systems,"Pair this model with a Pro Series™ variable speed furnace and a Comfort Sync® A3 thermostat, for optimum performance. With higher energy efficiency, premium technology and a smart thermostat, our Pro Series™ systems give you the highest degree of control over your home environment. Explore the full Pro Series™ line."
Comfort Sync® A3 Ultra-Smart Thermostat Compatible,"When you pair this model with the Comfort Sync® A3 Thermostat, you unlock total control over your home environment from anywhere. Program your Comfort Sync® app once and enjoy the freedom of fully intelligent heating and cooling. Your system adapts to deliver total harmony across your home, all on your schedule, so you can spend more time enjoying your home, and less time tinkering with thermostat settings."
Enhanced Dehumidification,"Rather than running at just one speed, the inverter-driven scroll compressor is able to run at lower speeds and longer cycles, removing more humidity from the air for a more dry, consistently comfortable home environment."
Microban® Antimicrobial Protection,Each of our matched indoor air coil units feature drain pans treated with Microban antimicrobial protection. It stops the growth odor-causing mold and mildew on contact and helps ensure long-lasting performance.
Quiet Shift™ Technology,"Allows heat pumps to enter defrost mode without excessive noise. Since refrigerant pressure is allowed to equalize before the switch, the heat pump can dissipate performance-robbing frost and ice quietly."
Heavy-Duty Compressor Blanket,Greatly reduces operating sound so your outdoor entertaining is not interrupted.
Incredibly Quiet Operation,"Rather than running at just one speed, the inverter-driven compressor is able to run at lower speeds and longer cycles. That means approximately 50% lower noise levels compared to a 14 SEER single-stage unit for comfort you'll never have to think about."
Swept Wing Fan Blades,High-tech design allows for better sound control and is engineered for long-lasting durability.
Integrated Compressor Protection,"The combination of both high and low pressure switches give additional reliability to each AirEase cooling unit. The high pressure switch prevents operation in the event that refrigerant pressures exceed safe levels, protecting the compressor. In the event that your unit does not have enough refrigerant, the low pressure switch prevents the unit from drawing in moisture and other contaminants while operating."
Comfort Sync® A3 Smart Performance,"When you pair this model with the Comfort Sync® A3 Thermostat, your thermostat communicates with each component, making constant adjustments and sending regular maintenance reminders to your smart phone to ensure your entire system is always working in harmony for your ideal environment."
Omniguard® Total Corrosion Protection Technology,"Select AirEase air handler units feature Omniguard Total Corrosion Protection Technology, offering improved corrosion protection compared to traditional coils and preserving the life of your systemfor years to come."
Sealed Contactor With Lugs,"Our outdoor units use a sealed contactor with lugs to provide a safe and secure power connection, and the lugs help technicians during routine maintenance."
Warranty .,"Our dedication to engineering a better product is backed by a 10-Year Limited Warranty on parts and extended warranty options including full unit replacement on equipment installed by a registered Premier or ProTeam dealer.**

**Product registration required. Warranty applies to residential applications only. For terms, conditions and exclusions, visit our warranty page."
Pro Series™ Systems,"Pair this model with a Pro Series™ variable speed furnace and a Comfort Sync® A3 thermostat, for optimum performance. With higher energy efficiency, premium technology and a smart thermostat, our Pro Series™ systems give you the highest degree of control over your home environment. Explore the full Pro Series™ line."
Two-Stage Scroll Compressor,"The two-stage scroll compressor will run longer, gentler cooling cycles at low capacity during mild weather and switch to full capacity on hotter days, keeping you comfortable all season long."
Comfort Sync® A3 Thermostat,"When you pair this model with the Comfort Sync® A3 Thermostat, the system will continuously monitor internal components for optimum performance. Comfort Sync® puts you in total control of your home environment with remote temperature adjustment from anywhere in the world, even your couch, via smartphone app. When Comfort Sync detects that repairs and regular maintenance are needed, it alerts you or your dealer instantly, so your perfect environment never ends."
ENERGY STAR® Certified,The ENERGY STAR program is a joint program of the U.S. Environmental Protection Agency and the U.S. Department of Energy helping us all save money and protect the environment through energy-efficient products and practices.
Up to 16 SEER Efficiency Rating*,"SEER (Seasonal Energy Efficiency Ratio) rates the energy efficiency of your cooling equipment. The higher the SEER rating, the more efficiently your unit operates, saving you money on utility bills."
Integrated Compressor Protection,"The combination of both high and low pressure switches give additional reliability to each AirEase cooling unit. The high pressure switch prevents operation in the event that refrigerant pressures exceed safe levels, protecting the compressor. In the event that your unit does not have enough refrigerant, the low pressure switch prevents the unit from drawing in moisture and other contaminants while operating."
MHT™ Technology,"AirEase’s proprietary heat transfer system. A specially designed fan shroud pulls air evenly throughout the air conditioner’s coil surface. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. All combine for maximum heat transfer and efficiency."
ENERGY STAR® Certified,The ENERGY STAR program is a joint program of the U.S. Environmental Protection Agency and the U.S. Department of Energy helping us all save money and protect the environment through energy-efficient products and practices.
Matched Indoor System,"When properly matched with a variable speed furnace or air handler, your outdoor unit can, in many cases, provide an elevated SEER rating."
Two-Stage Scroll Compressor,"Rather than being ""all on"" or ""all off,"" your cooling unit can adjust its cooling output based on conditions inside and outside your home. So you use less energy to maintain comfort."
Up to 16 SEER Efficiency Rating*,"SEER (Seasonal Energy Efficiency Ratio) rates the energy efficiency of your cooling equipment. The higher the SEER rating, the more efficiently your unit operates, saving you money on utility bills."
Anti-Microbial Protection,"On Matched AirEase Indoor Coil. Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce."
Pro Series™ Systems,"Pair this model with a Pro Series™ variable speed furnace and a Comfort Sync® A3 thermostat, for optimum performance. With higher energy efficiency, premium technology and a smart thermostat, our Pro Series™ systems give you the highest degree of control over your home environment. Explore the full Pro Series™ line."
Two-Stage Scroll Compressor,"The two-stage scroll compressor will run longer, gentler cooling cycles at low capacity during mild weather and switch to full capacity on hotter days, keeping you comfortable all season long."
Comfort Sync® A3 Thermostat,"When you pair this model with the Comfort Sync® A3 Thermostat, the system will continuously monitor internal components for optimum performance. Comfort Sync® puts you in total control of your home environment with remote temperature adjustment from anywhere in the world, even your couch, via smartphone app. When Comfort Sync detects that repairs and regular maintenance are needed, it alerts you or your dealer instantly, so your perfect environment never ends."
One-Touch Away Mode,Puts your system into an enhanced energy-saving modewhen you leave.
Remote Access,"Allows you to check and adjust your home’s temperature from anywhere using your laptop, smartphone, tablet or other connected device."
Weather Data,"Using its connection to your wireless network, the Comfort Sync® A3 Thermostat can display a five-day forecast and live weather alerts."
Heavy-Duty Compressor Blanket,Greatly reduces operating sound so your outdoor entertaining is not interrupted.
Integrated Compressor Protection,"The combination of both high and low pressure switches give additional reliability to each AirEase cooling unit. The high pressure switch prevents operation in the event that refrigerant pressures exceed safe levels, protecting the compressor. In the event that your unit does not have enough refrigerant, the low pressure switch prevents the unit from drawing in moisture and other contaminants while operating."
MHT™ Technology,"AirEase’s proprietary heat transfer system. A specially designed fan shroud pulls air evenly throughout the air conditioner’s coil surface. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. All combine for maximum heat transfer and efficiency."
Warranty,AirEase’s commitment to a better product is backed by a 10-Year Limited Warranty on parts.
Up to 17 SEER Efficiency Rating*,"SEER (Seasonal Energy Efficiency Ratio) rates the energy efficiency of your cooling equipment. The higher the SEER rating, the more efficiently your unit operates, saving you money on utility bills.

Learn more about SEER and SEER2 ratings here.
*May qualify for local utility rebates."
Up to 16 SEER2 Efficiency Rating*,"SEER2 stands for Seasonal Energy Efficiency Ratio and is a measurement of the efficiency of cooling products. The “2” refers to the 2023 updated testing standards. Compared to original SEER ratings, these new standards are updated to more accurately reflect performance in real-world installations. Think of it like the difference between highway vs. city miles per gallon: SEER represents performance in perfect conditions, while SEER2 presents a more realistic picture of performance – i.e., stop-and-go traffic.

Learn more about SEER and SEER2 ratings here.
*May qualify for local utility rebates."
ENERGY STAR® Certified,The ENERGY STAR program is a joint program of the U.S. Environmental Protection Agency and the U.S. Department of Energy helping us all save money and protect the environment through energy-efficient products and practices.
Single-Stage Compressor,Our reliable single-stage compressors are made from quality materials and run-tested well beyond industry standards to ensure your unit provides you with year-after-year comfort.
Omniguard® Total Corrosion Protection Technology,"Our outdoor units feature Omniguard Total Corrosion Protection Technology, offering improved corrosion protection compared to traditional coils and preserving the life of your system for years to come."
MHT™ Technology,"MHT™ Technology helps transfer heat in and out of your home more efficiently. Featuring lanced coil fins for greater coil-to-air contact, rifled tubing for enhanced refrigerant flow, and a fan venturi cover to focus air flow over the coils to more efficiently remove heat in cooling mode and absorb heat from the air in heating mode. That means our air conditioners and heat pumps are designed to last longer and help ensure your home stays consistently comfortable."
Integrated Compressor Protection,"The combination of both high- and low-pressure switches give additional reliability to each of our cooling units. The high-pressure switch prevents operation if refrigerant pressures exceed safe levels, protecting the compressor. If your unit does not have enough refrigerant, the low-pressure switch prevents the unit from drawing in moisture and other contaminants while operating."
Heavy-Duty Compressor Blanket,Greatly reduces operating sound so your outdoor entertaining is not interrupted.
Up to 17 SEER Efficiency Rating*,"SEER (Seasonal Energy Efficiency Ratio) rates the energy efficiency of your cooling equipment. The higher the SEER rating, the more efficiently your unit operates, saving you money on utility bills.

Learn more about SEER and SEER2 ratings here.
*May qualify for local utility rebates."
Up to 16 SEER2 Efficiency Rating*,"SEER2 stands for Seasonal Energy Efficiency Ratio and is a measurement of the efficiency of cooling products. The “2” refers to the 2023 updated testing standards. Compared to original SEER ratings, these new standards are updated to more accurately reflect performance in real-world installations. Think of it like the difference between highway vs. city miles per gallon: SEER represents performance in perfect conditions, while SEER2 presents a more realistic picture of performance – i.e., stop-and-go traffic.

Learn more about SEER and SEER2 ratings here.
*May qualify for local utility rebates."
ENERGY STAR® Certified,The ENERGY STAR program is a joint program of the U.S. Environmental Protection Agency and the U.S. Department of Energy helping us all save money and protect the environment through energy-efficient products and practices.
Single-Stage Compressor,Our reliable single-stage compressors are made from quality materials and run-tested well beyond industry standards to ensure your unit provides you with year-after-year comfort.
MHT™ Technology,"MHT™ Technology helps transfer heat in and out of your home more efficiently. Featuring lanced coil fins for greater coil-to-air contact, rifled tubing for enhanced refrigerant flow, and a fan venturi cover to focus air flow over the coils to more efficiently remove heat in cooling mode and absorb heat from the air in heating mode. That means our air conditioners and heat pumps are designed to last longer and help ensure your home stays consistently comfortable."
Matched Indoor System,"When properly matched with a variable speed furnace or air handler, your outdoor unit can, in many cases, provide an elevated SEER rating."
Microban® Antimicrobial Protection,Each of our matched indoor air coil units feature drain pans treated with Microban antimicrobial protection. It stops the growth odor-causing mold and mildew on contact and helps ensure long-lasting performance.
Single-Stage Scroll Compressor,Our reliable single-stage compressors are made from quality materials and run-tested well beyond industry standards to ensure your unit provides you with year-after-year comfort.
Heavy-Duty Compressor Blanket,Greatly reduces operating sound so your outdoor entertaining is not interrupted.
Omniguard® Total Corrosion Protection Technology,"Our outdoor units feature Omniguard Total Corrosion Protection Technology, offering improved corrosion protection compared to traditional coils and preserving the life of your system for years to come."
Integrated Compressor Protection,"The combination of both high- and low-pressure switches give additional reliability to each of our cooling units. The high-pressure switch prevents operation if refrigerant pressures exceed safe levels, protecting the compressor. If your unit does not have enough refrigerant, the low-pressure switch prevents the unit from drawing in moisture and other contaminants while operating."
Sealed Contactor With Lugs,"Our outdoor units use a sealed contactor with lugs to provide a safe and secure power connection, and the lugs help technicians during routine maintenance."
Warranty .,"Our dedication to engineering a better product is backed by a 10-Year Limited Warranty on parts and extended warranty options including full unit replacement on equipment installed by a registered Premier or ProTeam dealer.**

**Product registration required. Warranty applies to residential applications only. For terms, conditions and exclusions, visit our warranty page."
Up to 16 SEER Efficiency Rating*,"SEER (Seasonal Energy Efficiency Ratio) rates the energy efficiency of your cooling equipment. The higher the SEER rating, the more efficiently your unit operates, saving you money on utility bills.

Learn more about SEER and SEER2 ratings here.
*May qualify for local utility rebates."
Up to 15.2 SEER2 Efficiency Rating*,"SEER2 stands for Seasonal Energy Efficiency Ratio and is a measurement of the efficiency of cooling products. The “2” refers to the 2023 updated testing standards. Compared to original SEER ratings, these new standards are updated to more accurately reflect performance in real-world installations. Think of it like the difference between highway vs. city miles per gallon: SEER represents performance in perfect conditions, while SEER2 presents a more realistic picture of performance – i.e., stop-and-go traffic.

Learn more about SEER and SEER2 ratings here.
*May qualify for local utility rebates."
ENERGY STAR® Certified,The ENERGY STAR program is a joint program of the U.S. Environmental Protection Agency and the U.S. Department of Energy helping us all save money and protect the environment through energy-efficient products and practices.
Single-Stage Compressor,Our reliable single-stage compressors are made from quality materials and run-tested well beyond industry standards to ensure your unit provides you with year-after-year comfort.
Omniguard® Total Corrosion Protection Technology,"Our outdoor units feature Omniguard Total Corrosion Protection Technology, offering improved corrosion protection compared to traditional coils and preserving the life of your system for years to come."
MHT™ Technology,"MHT™ Technology helps transfer heat in and out of your home more efficiently. Featuring lanced coil fins for greater coil-to-air contact, rifled tubing for enhanced refrigerant flow, and a fan venturi cover to focus air flow over the coils to more efficiently remove heat in cooling mode and absorb heat from the air in heating mode. That means our air conditioners and heat pumps are designed to last longer and help ensure your home stays consistently comfortable."
Integrated Compressor Protection,"The combination of both high- and low-pressure switches give additional reliability to each of our cooling units. The high-pressure switch prevents operation if refrigerant pressures exceed safe levels, protecting the compressor. If your unit does not have enough refrigerant, the low-pressure switch prevents the unit from drawing in moisture and other contaminants while operating."
Heavy-Duty Compressor Blanket,Greatly reduces operating sound so your outdoor entertaining is not interrupted.
Up to 16 SEER Efficiency Rating*,"SEER (Seasonal Energy Efficiency Ratio) rates the energy efficiency of your cooling equipment. The higher the SEER rating, the more efficiently your unit operates, saving you money on utility bills.

Learn more about SEER and SEER2 ratings here.
*May qualify for local utility rebates."
Up to 15.2 SEER2 Efficiency Rating*,"SEER2 stands for Seasonal Energy Efficiency Ratio and is a measurement of the efficiency of cooling products. The “2” refers to the 2023 updated testing standards. Compared to original SEER ratings, these new standards are updated to more accurately reflect performance in real-world installations. Think of it like the difference between highway vs. city miles per gallon: SEER represents performance in perfect conditions, while SEER2 presents a more realistic picture of performance – i.e., stop-and-go traffic.

Learn more about SEER and SEER2 ratings here.
*May qualify for local utility rebates."
ENERGY STAR® Certified,The ENERGY STAR program is a joint program of the U.S. Environmental Protection Agency and the U.S. Department of Energy helping us all save money and protect the environment through energy-efficient products and practices.
Single-Stage Compressor,Our reliable single-stage compressors are made from quality materials and run-tested well beyond industry standards to ensure your unit provides you with year-after-year comfort.
MHT™ Technology,"MHT™ Technology helps transfer heat in and out of your home more efficiently. Featuring lanced coil fins for greater coil-to-air contact, rifled tubing for enhanced refrigerant flow, and a fan venturi cover to focus air flow over the coils to more efficiently remove heat in cooling mode and absorb heat from the air in heating mode. That means our air conditioners and heat pumps are designed to last longer and help ensure your home stays consistently comfortable."
Matched Indoor System,"When properly matched with a variable speed furnace or air handler, your outdoor unit can, in many cases, provide an elevated SEER rating."
Single-Stage Scroll Compressor,Our reliable single-stage compressors are made from quality materials and run-tested well beyond industry standards to ensure your unit provides you with year-after-year comfort.
Microban® Antimicrobial Protection,Each of our matched indoor air coil units feature drain pans treated with Microban antimicrobial protection. It stops the growth odor-causing mold and mildew on contact and helps ensure long-lasting performance.
Heavy-Duty Compressor Blanket,Greatly reduces operating sound so your outdoor entertaining is not interrupted.
Omniguard® Total Corrosion Protection Technology,"Our outdoor units feature Omniguard Total Corrosion Protection Technology, offering improved corrosion protection compared to traditional coils and preserving the life of your system for years to come."
Integrated Compressor Protection,"The combination of both high- and low-pressure switches give additional reliability to each of our cooling units. The high-pressure switch prevents operation if refrigerant pressures exceed safe levels, protecting the compressor. If your unit does not have enough refrigerant, the low-pressure switch prevents the unit from drawing in moisture and other contaminants while operating."
Sealed Contactor With Lugs,"Our outdoor units use a sealed contactor with lugs to provide a safe and secure power connection, and the lugs help technicians during routine maintenance."
Warranty .,"Our dedication to engineering a better product is backed by a 10-Year Limited Warranty on parts and extended warranty options including full unit replacement on equipment installed by a registered Premier or ProTeam dealer.**

**Product registration required. Warranty applies to residential applications only. For terms, conditions and exclusions, visit our warranty page."
ENERGY STAR® Certified,The ENERGY STAR program is a joint program of the U.S. Environmental Protection Agency and the U.S. Department of Energy helping us all save money and protect the environment through energy-efficient products and practices.
Up to 16 SEER Efficiency Rating*,"SEER (Seasonal Energy Efficiency Ratio) rates the energy efficiency of your cooling equipment. The higher the SEER rating, the more efficiently your unit operates, saving you money on utility bills."
MHT™ Technology,"AirEase’s proprietary heat transfer system. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. They combine for maximum heat transfer and efficiency."
Matched Indoor System,"When properly matched with a variable speed furnace or air handler, your outdoor unit can, in many cases, provide an elevated SEER rating."
ENERGY STAR® Certified,The ENERGY STAR program is a joint program of the U.S. Environmental Protection Agency and the U.S. Department of Energy helping us all save money and protect the environment through energy-efficient products and practices.
Up to 16 SEER Efficiency Rating*,"SEER (Seasonal Energy Efficiency Ratio) rates the energy efficiency of your cooling equipment. The higher the SEER rating, the more efficiently your unit operates, saving you money on utility bills."
Anti-Microbial Protection,"On Matched AirEase Indoor Coil. Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce."
Single-Stage Compressor,"A time-proven design chosen for its consistent performance, incredible durability and long operating live, the single-stage compressor works hard year after year."
Omniguard® Total Corrosion Protection Technology,"Select AirEase Air Conditioner units feature Omniguard Total Corrosion Protection Technology, offering improved corrosion protection compared to traditional coils and preserving the life of your systemfor years to come."
High Pressure Switch,"This feature prevents operation of your cooling unit in the event that refrigerant pressures exceed safe levels, protecting the compressor."
MHT™ Technology,"AirEase’s proprietary heat transfer system. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. They combine for maximum heat transfer and efficiency."
Warranty,AirEase’s commitment to a better product is backed by a 10-Year Limited Warranty on parts.
Up to 14 SEER Efficiency Rating*,"SEER (Seasonal Energy Efficiency Ratio) rates the energy efficiency of your cooling equipment. The higher the SEER rating, the more efficiently your unit operates, saving you money on utility bills."
MHT™ Technology,"AirEase’s proprietary heat transfer system. A specially designed fan shroud pulls air evenly throughout the air conditioner’s coil surface. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. All combine for maximum heat transfer and efficiency."
Matched Indoor System,"When properly matched with a variable speed furnace or air handler, your outdoor unit can, in many cases, provide an elevated SEER rating."
Up to 14 SEER Efficiency Rating*,"SEER (Seasonal Energy Efficiency Ratio) rates the energy efficiency of your cooling equipment. The higher the SEER rating, the more efficiently your unit operates, saving you money on utility bills."
Anti-Microbial Protection,"On Matched AirEase Indoor Coil. Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce."
Single-Stage Compressor,"A time-proven design chosen for its consistent performance, incredible durability and long operating live, the single-stage compressor works hard year after year."
Heavy-Duty Compressor Blanket,Greatly reduces operating sound so your outdoor entertaining is not interrupted.
Integrated Compressor Protection,"The combination of both high and low pressure switches give additional reliability to each AirEase cooling unit. The high pressure switch prevents operation in the event that refrigerant pressures exceed safe levels, protecting the compressor. In the event that your unit does not have enough refrigerant, the low pressure switch prevents the unit from drawing in moisture and other contaminants while operating."
MHT™ Technology,"AirEase’s proprietary heat transfer system. A specially designed fan shroud pulls air evenly throughout the air conditioner’s coil surface. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. All combine for maximum heat transfer and efficiency."
Warranty,AirEase’s commitment to a better product is backed by a 10-Year Limited Warranty on parts.
Up to 14 SEER Efficiency Rating*,"SEER (Seasonal Energy Efficiency Ratio) rates the energy efficiency of your cooling equipment. The higher the SEER rating, the more efficiently your unit operates, saving you money on utility bills."
MHT™ Technology,"AirEase’s proprietary heat transfer system. A specially designed fan shroud pulls air evenly throughout the air conditioner’s coil surface. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. All combine for maximum heat transfer and efficiency."
Matched Indoor System,"When properly matched with a variable speed furnace or air handler, your outdoor unit can, in many cases, provide an elevated SEER rating."
Up to 14 SEER Efficiency Rating*,"SEER (Seasonal Energy Efficiency Ratio) rates the energy efficiency of your cooling equipment. The higher the SEER rating, the more efficiently your unit operates, saving you money on utility bills."
Anti-Microbial Protection,"On Matched AirEase Indoor Coil. Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce."
Single-Stage Compressor,"A time-proven design chosen for its consistent performance, incredible durability and long operating live, the single-stage compressor works hard year after year."
High Pressure Switch,"This feature prevents operation of your cooling unit in the event that refrigerant pressures exceed safe levels, protecting the compressor."
MHT™ Technology,"AirEase’s proprietary heat transfer system. A specially designed fan shroud pulls air evenly throughout the air conditioner’s coil surface. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. All combine for maximum heat transfer and efficiency."
Warranty,AirEase’s commitment to a better product is backed by a 10-Year Limited Warranty on parts.
Up to 22 SEER Efficiency Rating*,"The highly energy efficient cooling mode on this heat pump can deliver more than 36% greater energy efficiency than a conventional 14 SEER single-stage heat pump unit. SEER (Seasonal Energy Efficiency Ratio) rates the energy efficiency of your cooling equipment. The higher the SEER rating, the more efficiently your unit operates, saving your money on utility bills. A SEER rating of 22 meets ENERGY STAR® and CEE Tier 1 and Tier 2 qualifications, potentially making you eligible for tax incentives or local utility rebates.

Learn more about SEER and SEER2 ratings here.
*May qualify for local utility rebates"
Up to 20.9 SEER2 Efficiency Rating*,"A SEER2 rating of 20.9 meets ENERGY STAR® and CEE Tier 1 and Tier 2 qualifications, potentially making you eligible for tax incentives or local utility rebates.

Learn more about SEER and SEER2 ratings here.
*May qualify for local utility rebates"
Up to 11 HSPF Efficiency Rating*,"The highly energy efficient heating mode on this heat pump can deliver more than 36% greater energy efficiency than a conventional 14 SEER single-stage heat pump unit. HSPF (Heating Seasonal Performance Factor) rates the energy efficiency of your heat pump. The higher the HSPF rating, the more efficiently your unit operates, saving you money on utility bills.

Learn more about HSPF and HSPF2 ratings here.
*May qualify for local utility rebates."
Up to 9.5 HSPF2 Efficiency Rating*,"HSPF2 stands for Heating Seasonal Performance Factor and is a measurement of a heat pump’s heating efficiency. As with SEER2, HSPF was updated to HSPF2 to help reflect your system’s performance after installation.

Learn more about HSPF and HSPF2 ratings here.
*May qualify for local utility rebates."
Pro Series™ Systems,"Pair this model with a Pro Series™ variable speed furnace and a Comfort Sync® A3 thermostat, for optimum performance. With higher energy efficiency, premium technology and a smart thermostat, our Pro Series™ systems give you the highest degree of control over your home environment. Explore the full Pro Series™ line."
